Time, x, y, z, temperature, BMP_altitude, BMP_temperature, BMP_pressure, Humidity, MPU_acc_x, MPU_acc_y, MPU_acc_z, GYRO_x, GYRO_y, GYRO_z, MAG_x, MAG_y, MAG_z, MPX_pressure
841,0.28,0.15,0.89,2.62,294.77,28.6,98968.72,88.4,0.3,0,0.88,-13.54,10.3,-11.22,46.31,-64.55,62.02,31.51
1842,0.4,0.19,0.98,2.62,294.21,28.71,98975.35,88.41,0.41,0.09,0.92,-0.12,-18.35,1.59,36.81,-64.55,56.27,31.51
2841,0.47,0.2,0.92,2.62,294.2,28.73,98975.54,88.36,0.46,0.08,0.89,-1.46,1.65,-1.83,35.63,-65.74,51.68,31.47
3842,0.45,0.17,0.88,2.62,294.53,28.74,98971.55,88.38,0.45,0.04,0.86,-0.55,1.16,0.24,41.56,-66.94,55.13,31.47
4841,0.43,0.14,1.01,2.62,294.79,28.74,98968.54,88.36,0.46,0.02,1.01,-4.88,13.11,-5.55,41.56,-66.94,55.13,31.47
5841,0.47,-0.09,0.82,2.63,294.54,28.76,98971.49,88.37,0.5,-0.27,0.81,6.1,-6.59,2.07,66.5,-71.72,55.13,31.47
6841,0.47,-0.08,0.8,2.63,294.53,28.76,98971.66,88.37,0.49,-0.26,0.79,-3.05,3.05,0.37,67.69,-76.5,52.83,31.51
7841,0.5,-0.05,0.8,2.63,294.51,28.77,98971.86,88.34,0.52,-0.24,0.8,-1.65,1.65,1.52,66.5,-71.72,51.68,31.51
8842,0.27,-0.03,0.88,2.63,294.61,28.77,98970.71,88.38,0.29,-0.18,0.9,-11.65,-0.43,-0.12,65.31,-60.96,62.02,31.47
9841,0.13,-0.13,0.82,2.63,294.74,28.77,98969.14,88.36,0.15,-0.31,0.84,17.8,14.7,-1.77,81.94,-50.2,64.31,31.47
10842,0.19,-0.07,0.91,2.63,294.77,28.78,98968.75,88.37,0.21,-0.23,0.93,5.91,6.46,-0.24,68.87,-53.79,63.16,31.47
11841,0.22,0.19,0.78,2.63,294.61,28.78,98970.72,88.4,0.25,0.04,0.75,6.04,-16.46,0.61,52.25,-52.59,66.61,31.47
12841,0.04,0.14,0.91,2.63,294.59,28.78,98970.88,88.34,0.05,-0.01,0.89,3.9,-9.09,-10.24,60.56,-45.42,68.91,31.47
13841,0.18,0.22,0.98,2.64,294.52,28.78,98971.74,88.36,0.17,0.11,0.99,2.56,7.56,-0.24,48.69,-50.2,68.91,31.51
14841,0.21,0.29,0.95,2.64,294.42,28.78,98972.86,88.37,0.21,0.21,0.89,54.76,51.46,-48.54,35.63,-54.98,62.02,31.51
15842,0.14,0.19,1.06,2.64,294.52,28.79,98971.71,88.34,0.15,0.07,1.08,-51.1,-17.07,18.11,38,-44.23,68.91,31.51
16841,0.27,0.11,1.09,2.64,294.55,28.79,98971.35,88.34,0.26,0.03,1.19,152.01,33.23,80.18,78.37,-49.01,66.61,31.47
17842,-0.5,0.55,0.13,2.64,294.8,28.8,98968.38,88.33,-0.48,0.46,0.06,-69.51,-44.88,9.57,-20.19,15.54,-18.37,31.47
18841,0.47,-0.26,0.82,2.64,294.54,28.81,98970.97,88.34,0.45,-0.44,0.75,54.39,68.41,-190.61,117.56,-56.18,34.45,31.47
19842,0.14,-0.17,0.92,2.64,294.85,28.81,98967.88,88.33,0.18,-0.37,0.92,17.74,-23.66,5.73,95,-51.4,56.27,31.51
20842,0.05,-0.05,0.96,2.64,294.56,28.82,98971.3,88.36,0.06,-0.2,0.97,-8.84,-11.59,-8.9,93.81,-38.25,63.16,31.47
21841,0.05,-0.07,1.1,2.64,294.41,28.82,98973.07,88.33,0.07,-0.23,1.07,13.23,1.04,0.18,90.25,-33.47,68.91,31.47
22842,0.07,0.09,0.92,2.64,294.78,28.82,98968.66,88.34,0.09,-0.07,0.93,-5.91,-6.59,-21.04,83.12,-40.64,67.76,31.47
23842,0.31,0.09,0.91,2.64,294.55,28.82,98971.35,88.37,0.34,-0.06,0.91,-5.3,3.66,2.5,59.38,-60.96,60.87,31.47
24842,0.27,0.08,0.96,2.64,294.77,28.82,98968.77,88.37,0.29,-0.07,0.97,-2.26,0.85,3.9,65.31,-57.38,59.72,31.47
