Time, acc_x, acc_y, acc_y, altitude, MPU_x,  MPU_y, MPU_z, 
1842, 0.40,  0.19,  0.98,  294.21,  0.41,  0.09,  0.92,  
2841, 0.47,  0.20,  0.92,  294.20,  0.46,  0.08,  0.89,  
3842, 0.45,  0.17,  0.88,  294.53,  0.45,  0.04,  0.86,  
4841, 0.43,  0.14,  1.01,  294.79,  0.46,  0.02,  1.01,  
5841, 0.47,  -0.09,  0.82,  294.54,  0.50,  -0.27,  0.81,  
6841, 0.47,  -0.08,  0.80,  294.53,  0.49,  -0.26,  0.79,  
7841, 0.50,  -0.05,  0.80,  294.51,  0.52,  -0.24,  0.80,  
8842, 0.27,  -0.03,  0.88,  294.61,  0.29,  -0.18,  0.90,  
9841, 0.13,  -0.13,  0.82,  294.74,  0.15,  -0.31,  0.84,  
10842, 0.19,  -0.07,  0.91,  294.77,  0.21,  -0.23,  0.93,  
11841, 0.22,  0.19,  0.78,  294.61,  0.25,  0.04,  0.75,  
12841, 0.04,  0.14,  0.91,  294.59,  0.05,  -0.01,  0.89,  
13841, 0.18,  0.22,  0.98,  294.52,  0.17,  0.11,  0.99,  
14841, 0.21,  0.29,  0.95,  294.42,  0.21,  0.21,  0.89,  
15842, 0.14,  0.19,  1.06,  294.52,  0.15,  0.07,  1.08,  
16841, 0.27,  0.11,  1.09,  294.55,  0.26,  0.03,  1.19,  
17842, -0.50,  0.55,  0.13,  294.80,  -0.48,  0.46,  0.06,  
18841, 0.47,  -0.26,  0.82,  294.54,  0.45,  -0.44,  0.75,  
19842, 0.14,  -0.17,  0.92,  294.85,  0.18,  -0.37,  0.92,  
20842, 0.05,  -0.05,  0.96,  294.56,  0.06,  -0.20,  0.97,  
21841, 0.05,  -0.07,  1.10,  294.41,  0.07,  -0.23,  1.07,  
22842, 0.07,  0.09,  0.92,  294.78,  0.09,  -0.07,  0.93,  
23842, 0.31,  0.09,  0.91,  294.55,  0.34,  -0.06,  0.91,  
24842, 0.27,  0.08,  0.96,  294.77,  0.29,  -0.07,  0.97,  
25842, 0.28,  0.06,  0.96,  294.72,  0.29,  -0.07,  0.95,  
26832, 0.27,  0.05,  0.91,  294.24,  0.29,  -0.10,  0.91,  
27805, 0.28,  0.06,  0.94,  294.40,  0.31,  -0.09,  0.94,  
28756, 0.24,  0.05,  0.85,  294.66,  0.26,  -0.11,  0.85,  
29732, 0.39,  0.10,  0.94,  294.59,  0.41,  -0.04,  0.93,  
30708, 0.31,  0.11,  0.91,  294.86,  0.33,  -0.03,  0.90,  
31698, 0.25,  0.01,  0.95,  294.64,  0.28,  -0.14,  0.95,  
32671, 0.21,  0.08,  0.94,  294.77,  0.23,  -0.07,  0.94,  
33655, 0.30,  -0.00,  0.96,  294.74,  0.32,  -0.15,  0.98,  
34634, 0.27,  0.01,  0.94,  294.76,  0.29,  -0.14,  0.94,  
35617, 0.27,  0.01,  0.92,  294.78,  0.30,  -0.14,  0.93,  
36592, 0.27,  0.02,  0.92,  294.80,  0.29,  -0.13,  0.92,  
37540, 0.31,  -0.00,  0.96,  294.95,  0.33,  -0.15,  0.98,  
38515, 0.36,  0.08,  0.89,  294.98,  0.35,  -0.01,  0.84,  
40510, 0.34,  -0.00,  0.91,  294.82,  0.37,  -0.15,  0.92,  
41469, 0.21,  0.09,  0.96,  295.02,  0.21,  -0.05,  0.98,  
44456, 0.16,  0.08,  0.96,  294.99,  0.18,  -0.07,  0.96,  
45401, 0.14,  0.08,  0.96,  295.03,  0.17,  -0.07,  0.96,  
46384, 0.16,  0.06,  0.96,  294.94,  0.19,  -0.07,  0.97,  
49375, -0.15,  0.08,  0.98,  294.87,  -0.14,  -0.08,  0.94,  
52342, -0.01,  0.05,  0.91,  294.91,  0.03,  -0.10,  0.95,  
53342, 0.05,  0.17,  0.98,  294.82,  0.07,  0.02,  0.96,  
55343, 0.10,  0.08,  0.98,  294.96,  0.11,  -0.06,  0.97,  
